super,label,n_fine_clusters,n_distinct_items,n_rows,unit_price_p50,member_fine_types
5,金塊香蒜-小單/卡辣姆久平切洋/星-二配板巧克…(78款),10,78,198,42.0,金塊香蒜-小單位 | 星-二配板巧克力夾心土司 | 卡辣姆久平切洋芋片勁辣唐辛35元 | 金黃起司火腿蛋三明治 | 起司蛋堡 | d摩斯雞塊套加60 | 摩斯鱈魚堡 | 統一麵包快樂牛奶球 | 超級大麥海洋珍珠堡 | 極選厚菠蘿
1,金萱雙q/大1四季春珍波/清爽沙拉飯…(54款),9,54,176,72.5,皮蛋乾麵 | 大1四季春珍波椰 | 金萱雙q | 薯球(肯)(活動) | 清爽沙拉飯 | 黑蒜豚骨拉麵 | 韓式泡菜拉麵 | 叉燒飯 | 餛飩牛肉湯麵(小)
8,午后時光-重乳/冰紅茶-大(新/芽香綠金萱(l…(64款),8,64,145,35.0,重乳奶茶tp330 | 午后時光-重乳奶茶tp330 | 冰紅茶-大(新) | 油切蕎麥茶 | 芽香綠金萱(l) | 牧香穀物鮮奶茶(l) | 冰綠茶-小 | 白玉珍珠 / 無糖 / 微冰
4,嫩切雞肉堡6吋/12fit -/母傳原湯清燉牛…(38款),6,38,140,125.0,嫩切雞肉堡6吋 | 12fit - 特餐_七味蒜香雞胸(b) | 母傳原湯清燉牛肉 | 日香雞肉飯 - 私房辣椒雞腿飯(b) | 照燒雞肉堡6吋 | 燙青菜
16,parking/停車費/parking…(5款),4,5,134,35.0,parking fee | parking fee | 停車費 | parking fee
3,配-經典大薯/涼拌豆干絲/四塊麥克雞塊…(84款),7,84,127,48.0,寶山黑糖麻糬手 | 四塊麥克雞塊 | 配-經典大薯 | 櫛瓜 | 涼拌豆干絲 | 撈派巴沙魚片(半) | 紅油口水雞
10,紅茶/多多綠茶/奶茶…(26款),7,26,123,130.0,紅茶 | 草莓 | 多多綠茶 | 原味波士頓 | 酥脆雞塊 | 奶茶 | 極致巧克力蛋糕
6,16oz(冰)/美式冰咖啡(大/輕食咖啡廳…(28款),5,28,113,60.0,a 美式黑咖啡-中冰 | 16oz(冰)特選美式咖啡 | 美式冰咖啡(大) | 輕食咖啡廳 | 特選美式冰咖啡(大)
14,台灣香蕉重量分/芽香綠金萱(l/桂格100%燕…(31款),6,31,105,35.0,韓國農心辛香菇杯麵 | 台灣香蕉重量分享包(2入) | 桂格100%燕麥(顆粒微甜)290ml | 芽香綠金萱(l) | 台灣上等蕉(裸賣) | (區)現蒸地瓜25元
9,(a)御料小館/御選肉鬆飯糰/粥天子-廣式皮…(12款),4,12,85,45.0,(a)御料小館香辣炸雞球 | 御選肉鬆飯糰 | 粥天子-廣式皮蛋瘦肉煲粥 | 林聰明-雞肉飯飯糰
7,多喝水鹼性竹炭/(a)統一h2/味丹多喝水…(19款),5,19,75,35.0,多喝水鹼性竹炭 | (a)統一h2o純水pet2200 | 泰山淨之水 | fmc鹼性離子水800ml | 味丹多喝水
23,ab原味優酪乳/ab原味優酪乳/福樂自然零藍莓…(21款),3,21,60,30.0,福樂自然零藍莓優酪 | ab原味優酪乳206ml(瓶) | ab優酪乳原味
0,a4黑白列印i/藝舍黑田桑小卡/列印服務全錄黑…(38款),3,38,56,15.5,a4黑白列印ibon | 藝舍黑田桑小卡 | 百樂g2 07鋼珠筆藍
11,桌球場/撞球場/健身房全票60…(3款),2,3,56,100.0,桌球場 | 桌球場
21,餅乾1片/餅乾3片/糖心蛋(兩片)…(7款),3,7,54,25.0,餅乾1片 | 餅乾3片 | 糖心蛋(兩片)
22,大冰美式/特大冰美式/中冰美式…(3款),2,3,49,45.0,大冰美式 | 大冰美式
2,停車費/臨停/95無鉛汽油…(9款),2,9,26,30.0,臨停 | 停車費
12,烤雞(熟)/鮮蝦(熟)…(2款),1,2,17,45.0,烤雞(熟)
15,三明治冰淇淋/起士核桃堡14/豆乳原味奶酪…(5款),1,5,16,31.5,三明治冰淇淋
19,體適能-全票/minecra/桌球場…(5款),1,5,15,50.0,體適能-全票
24,配料…(1款),1,1,13,15.0,配料
20,老中醫天然仙楂/良澔仙楂梅16…(2款),1,2,11,32.0,老中醫天然仙楂70g
13,便當…(1款),1,1,3,105.0,便當
17,優惠單人套餐/299成人…(2款),1,2,2,209.5,優惠單人套餐
18,30元盤/40元盤…(2款),1,2,2,35.0,30元盤
